dataset,domain,architecture,run_id,timestamp,accuracy,f1_macro,f1_weighted,latency_ms,latency_std,failure_rate,explainability_score,avg_confidence,dependency,error_tolerance,ambiguity
NSL_KDD,cybersecurity,SemiSymbolic,17,2026-04-13T17:25:10.743164,0.797,0.7965726819205343,0.7969338640342875,0.000956885576248169,0.0003957235812289059,0.0,2.399999999999999,0.5999999999999998,1.5,3.95,3.5
NSL_KDD,cybersecurity,Concurrency,17,2026-04-13T17:25:20.782239,0.797,0.7933979019747396,0.796387087882416,0.007562745809555054,0.011717415101490304,0.0,3.0,0.46306432147083015,1.5,3.95,3.5
NSL_KDD,cybersecurity,SemiSymbolic,18,2026-04-13T17:25:22.629057,0.791,0.7904349149342692,0.7910561463468879,0.001009312868118286,0.0006287720854151031,0.0,2.399999999999999,0.5999999999999998,1.5,3.95,3.5
NSL_KDD,cybersecurity,Concurrency,18,2026-04-13T17:25:32.647087,0.815,0.8149781497897992,0.8150576578525731,0.007593608617782592,0.011118092072621932,0.0,3.0,0.41257489056899144,1.5,3.95,3.5
NSL_KDD,cybersecurity,SemiSymbolic,19,2026-04-13T17:25:34.517942,0.828,0.827386992935225,0.8281474034120249,0.001053877353668213,0.0005975127302908453,0.0,2.399999999999999,0.5999999999999998,1.5,3.95,3.5
NSL_KDD,cybersecurity,Concurrency,19,2026-04-13T17:25:41.894078,0.799,0.7988101521143642,0.7987431146881238,0.004975583791732788,0.001158544228642841,0.0,3.0,0.48345428395041895,1.5,3.95,3.5
Adult_Income,social_science,SemiSymbolic,0,2026-04-13T17:25:46.601538,0.8565,0.7893855451703793,0.8488314750460397,0.0018217079639434813,0.0024382952338107312,0.0,2.399999999999999,0.5999999999999998,2.5,2.0,3.8
Adult_Income,social_science,Concurrency,0,2026-04-13T17:25:56.798700,0.8645,0.801127117565062,0.8590552085064757,0.004968512415885925,0.0038280218309005264,0.0,3.0,0.9436848656325645,2.5,2.0,3.8
Adult_Income,social_science,SemiSymbolic,1,2026-04-13T17:26:00.257479,0.865,0.7951267482517483,0.8602141608391608,0.0016229530572891234,0.0023500716902991295,0.0,2.399999999999999,0.5999999999999998,2.5,2.0,3.8
Adult_Income,social_science,Concurrency,1,2026-04-13T17:26:10.901525,0.8695,0.7999968581881938,0.8646070731379306,0.00518481194972992,0.006332823748009705,0.0,3.0,0.9436848656325645,2.5,2.0,3.8
Adult_Income,social_science,SemiSymbolic,2,2026-04-13T17:26:13.590654,0.8695,0.7996345057017802,0.8656547357075492,0.001250026822090149,0.0013055427014084693,0.0,2.399999999999999,0.5999999999999998,2.5,2.0,3.8
Adult_Income,social_science,Concurrency,2,2026-04-13T17:26:24.119002,0.873,0.8069248603245791,0.8666748584242332,0.005130961775779724,0.005932516561691692,0.0,3.0,0.9461122421182299,2.5,2.0,3.8
Adult_Income,social_science,SemiSymbolic,3,2026-04-13T17:26:27.073624,0.8775,0.8098380479914435,0.8727925884185161,0.0013585948944091796,0.0013858825305539885,0.0,2.399999999999999,0.5999999999999998,2.5,2.0,3.8
Adult_Income,social_science,Concurrency,3,2026-04-13T17:26:37.492731,0.8685,0.7977320611218334,0.8631759538798336,0.0050762461423873905,0.005508410902342533,0.0,3.0,0.9465977174153629,2.5,2.0,3.8
Adult_Income,social_science,SemiSymbolic,4,2026-04-13T17:26:40.545855,0.8725,0.7998410502457833,0.8672540841256291,0.0013245255947113036,0.0015491942030816065,0.0,2.399999999999999,0.5999999999999998,2.5,2.0,3.8
Adult_Income,social_science,Concurrency,4,2026-04-13T17:26:51.450442,0.87,0.8057889822595705,0.864639775910364,0.005318235993385315,0.006378283577282703,0.0,3.0,0.9262077549357741,2.5,2.0,3.8
Adult_Income,social_science,SemiSymbolic,5,2026-04-13T17:26:54.006012,0.8715,0.8135502534664598,0.8665625776496086,0.0011490166187286377,0.001370457110516921,0.0,2.399999999999999,0.5999999999999998,2.5,2.0,3.8
Adult_Income,social_science,Concurrency,5,2026-04-13T17:27:05.637467,0.87,0.8037555156021913,0.8632729353193274,0.005688378095626831,0.007816971148368936,0.0,3.0,0.9407720138497662,2.5,2.0,3.8
Adult_Income,social_science,SemiSymbolic,6,2026-04-13T17:27:07.626519,0.866,0.8011748489151418,0.8593017794851022,0.0009397470951080322,0.000466042913104543,0.0,2.399999999999999,0.5999999999999998,2.5,2.0,3.8
Adult_Income,social_science,Concurrency,6,2026-04-13T17:27:19.434397,0.872,0.8029362498768351,0.865233619075771,0.005771184325218201,0.008108262402746967,0.0,3.0,0.9417429644440323,2.5,2.0,3.8
